index,Text,Negative?
0,"['pak', 'pm', 'survives', 'removal', 'scare']",False
40,"['queen', 'take', 'centrestage']",False
75,"['top', 'law', 'advisor', 'back', 'use', 'human', 'shield']",False
118,"['calcutta', 'get', 'mom', 'accept', 'calf']",False
119,"['stress', 'dress', 'code']",False
140,"['stop', 'loot', 'express', 'coin']",False
180,"['crusader', 'pleads', 'saving']",False
181,"['sangh', 'put', 'show', 'strength']",False
186,"['sukanta', 'chaudhuri', 'mean', 'indian']",False
187,"['scrap', 'pension', 'yojana', 'cycle', 'track', 'may', 'also', 'broken']",False
188,"['say', 'source']",False
196,"['also', 'epaper', ' ']",False
205,"['tougher', 'road', 'law']",False
216,"['see', 'hope', 'comment']",False
220,"['paddy', 'field', 'could', 'blame']",False
241,"['calcuttas', 'suddenly', 'cannot', 'enough', 'mothers', 'dish', 'outsourced', 'outlet']",False
243,"['ram', 'madhav', 'tell', 'wideranging', 'interview']",False
269,"['vijayvargiya', 'dare', 'arrest', 'leader']",False
274,"['lawmaker', 'ticked', 'box', 'supremacist']",False
283,"['modi', 'tested', 'water', 'letter']",False
313,"['indias', 'old', 'tie', 'continue', 'nurtured']",False
323,"['education', 'ranking', 'throw', 'surprise']",False
336,"['big', 'story', 'african', 'envoy', 'slam', 'indian', 'govt', 'condemning', 'gr', 'noida', 'attack', 'enough', 'say', 'visible']",False
341,"['sc', 'hear', 'petition', 'challenging', 'bombay', 'hc', 'order', 'beef', 'ban']",False
343,"['fixing', 'iphone', 'storage', 'issue']",False
351,"['bengal', 'wishlist']",False
356,"['balagarh', 'dying', 'art']",False
370,"['bypassing', 'highway', 'ban']",False
372,"['killer', 'hang']",False
384,"['first', 'time', 'decade']",False
391,"['price', 'slashed']",False
395,"['two', 'indian', 'kidnapped', 'south', 'sudan', 'released']",False
428,"['home', 'truth']",False
432,"['nashri', 'tunnel', 'pm', 'inaugurate', 'indias', 'longest', 'road', 'tunnel', 'video']",False
449,"['also', 'epaper', ' ']",False
461,"['handling', 'bully']",False
466,['however'],False
473,"['ignorance', 'shape', 'indian', 'attitude', 'towards']",False
494,"['venue', 'audience']",False
515,"['delhi', 'cm', 'put', 'trial', 'criminal', 'defamation', 'case', 'filed', 'union', 'minister', 'arun', 'jaitley', 'matter']",False
523,"['made', 'trek', 'km', 'fetch', 'water']",False
539,"['administrator', 'named', 'cricket', 'body']",False
561,"['bihar', 'meet']",False
568,"['attack', 'westminster']",False
571,"['also', 'epaper', ' ']",False
598,"['way', 'europe', 'lie']",False
611,"['supreme', 'court', 'take', 'record', 'unqualified', 'apology', 'tendered', 'bengal', 'counsel']",False
668,"['bjp', 'sold', 'development', 'sprang', 'hawk']",False
670,['leadership'],False
674,"['doctor', 'split', 'bengal', 'bill']",False
678,"['shocked', 'hc', 'order', 'handover', 'cbi']",False
697,"['india', 'urge', 'talk']",False
703,"['per', 'cent', 'viva', 'follow']",False
704,"['surprise', 'resignation', 'bos', 'manohar']",False
707,"['sudden', 'blaze', 'destroys', 'bungalow']",False
714,"['newly', 'elected', 'mlas', 'meet', 'lucknow', 'mar']",False
717,"['elaborate', 'system', 'place', 'prevent', 'misuse', 'evms', 'election', 'commission']",False
724,"['british', 'dhc', 'bruce', 'bucknell', 'institute', 'entrepreneur', 'head', 'manoj', 'da', 'discussing', 'skill', 'devt', 'ne']",False
725,"['akhilesh', 'meet', 'newly', 'elected', 'sp', 'mlas', 'today']",False
729,"['smooth', 'affair', 'today']",False
743,"['govt', 'seems', 'slipped', 'budget', ' ']",False
744,"['rohiths', 'buddys', 'autopsy', 'caught', 'distrust']",False
745,"['rapeaccused', 'leader', 'gayatri', 'prajapati', 'nabbed', 'roaming', 'delhi']",False
746,"['gurgaon', 'bengal']",False
747,"['municipal', 'held', 'april', 'state', 'election', 'commission']",False
751,"['call', 'floor', 'test']",False
756,"['finmin', 'arun', 'jaitley', 'given', 'additional', 'charge', 'defence', 'ministry', 'following', 'manohar', 'parikkars', 'resignation', 'rashtrapati', 'bhav']",False
763,"['walk', 'leader', 'bow', 'nayak', 'story']",False
766,"['oil', 'price', 'hit', 'threemonth', 'low', 'u', 'rig', 'count', 'climb']",False
779,"['match', 'referee', 'umpire', 'went', 'book']",False
780,['say'],False
781,"['bjp', 'claim', 'voter', 'risen']",False
782,"['ha', 'strengthened', 'sense', 'belonging', 'among', 'calcuttas']",False
798,"['magic', 'combined', 'organisational', 'strength', 'brought', 'back', 'party', 'system']",False
800,"['dynasty', 'demonetised']",False
803,['year'],False
805,"['congress', 'win', 'seat', 'member', 'assembly']",False
806,"['short', 'twothirds', 'majority']",False
808,"['congratulate', 'shri', 'narendra', 'modi', 'bjp', 'victory', 'uttar', 'pradesh', 'uttarakhand']",False
809,"['l', 'congratulate', 'people']",False
810,"['respect', 'accept', 'verdict', 'aimim', 'chief']",False
811,"['l', 'reach', 'raj', 'bhavan', 'tender', 'resignation', 'cm']",False
812,"['cm', 'laxmikant', 'parsekar', 'tender', 'resignation', 'lost', 'seeandidate', 'dayanand', 'sopte', 'see']",False
814,"['understand', 'state', 'ohf', 'mind', 'ohf', 'ji', 'right', 'nohw', 'hence']",False
815,"['dohnt', 'want', 'toh', 'cohmment', 'ohn', 'amit', 'shah', 'oh']",False
816,"['chief', 'press', 'conference', 'begin', 'shortly', 'stay', 'tuned']",False
818,"['leading', 'seat']",False
819,"['bjp', 'head', 'landslide', 'win', 'samajwadis', 'concede', 'defeat', 'mayawati', 'want', 'fresh', 'poll', 'using', 'paper', 'vote']",False
820,"['update', 'manhattan', 'attorney', 'preet', 'bharara', 'wa', 'asked', 'resign', 'along', 'obamaera', 'u', 'attorney', 'doj']",False
830,"['army', 'chiefs', 'word', 'ring', 'pellethit', 'boys', 'ear']",False
834,['aap'],False
835,['others'],False
841,"['high', 'court', 'judge', 'play', 'card']",False
842,['acquitted'],False
845,"['guilty', 'murder']",False
848,"['also', 'epaper', ' ']",False
850,"['govt', 'say', 'reliance', 'tendered', 'apology', 'using', 'prime', 'ministers', 'picture', 'ad', 'without', 'permission']",False
873,"['flash', 'ghouse', 'mohammad', 'khan']",False
905,['say'],False
908,"['polling', 'underway', 'assembly', 'seat', 'spread', 'across', 'district', 'seventh', 'final', 'phase']",False
910,"['terrorist', 'killed', 'report', 'terrorist', 'holed', 'false', 'adg']",False
922,['destroyed'],False
933,"['former', 'president', 'render', 'unqualified', 'unconditional', 'apology', 'supreme', 'court']",False
950,"['also', 'epaper', ' ']",False
977,"['focus', 'msme']",False
978,"['wage', 'hike']",False
1014,"['controlling', 'also', 'epaper']",False
1017,"['top', 'make', 'pay', 'cash', 'transaction', 'branch']",False
1020,"['development', 'mean', 'filling', 'also', 'mean', 'death']",False
1029,"['jaitley', 'say', 'likely', 'pick', 'coming', 'quarter']",False
1048,"['ashok', 'v', 'desai', 'formula', 'tackling', 'bank']",False
1067,['say'],False
1069,"['formidable', 'madame', 'calcuttas', 'run', 'business']",False
1087,"['today', 'congress', 'vp', 'address', 'rally', 'gonda']",False
1088,"['sultanpur', 'bahraich']",False
1091,"['live', 'money']",False
1093,['tell'],False
1102,"['also', 'epaper', ' ']",False
1108,"['angst', 'author']",False
1113,"['turnout', 'till', 'phaseiv']",False
1114,"['telecom', 'operator', 'acquire', 'business', 'telenor', 'india', 'seven', 'circle', 'hold', 'spectrum']",False
1116,"['jk', 'attached']",False
1128,"['founder', 'admit', 'gmv', 'vanity']",False
1134,"['also', 'epaper', ' ']",False
1137,"['economic', 'blockade', 'wont', 'impact', 'process']",False
1148,"['extends', 'offer', 'mobile', 'battle']",False
1157,['even'],False
1160,"['wont', 'allow', 'barrage', 'name', 'say']",False
1162,"['graveyard', 'barb']",False
1168,"['register', 'case', 'meat', 'exporter', 'graft', 'case', 'name', 'former', 'chief', 'ap', 'singh', 'also']",False
1200,"['come', 'prey']",False
1201,"['indias', 'protected', 'forest', 'planned']",False
1206,"['fir', 'registered', 'minister', 'gang', 'rape', 'sexual', 'harassment']",False
1209,['earlier'],False
1222,"['india', 'still', 'keen', 'buy', 'westinghouse', 'reactor', 'despite', 'toshiba', 'meltdown']",False
1240,"['jnu', 'vc', 'clarifies', 'ugc', 'gazette', 'wont', 'applied', 'retrospectively', 'existing', 'mphil', 'student', 'admitted', 'phd', 'goodbye']",False
1277,"['dgp', 'likely', 'take', 'final', 'call']",False
1285,"['bjp', 'urge', 'governor', 'vidyasagar', 'rao', 'take', 'decision', 'basis', 'number', 'well', 'credibility']",False
1297,"['mayawati', 'play', 'divideandwoo', 'home', 'turf', 'upelections']",False
1298,"['could', 'miss', 'flight', 'bangalore']",False
1308,"['also', 'epaper', ' ']",False
1319,"['tell', 'state']",False
1320,"['bonhomie', 'strike', 'chord', 'ground']",False
1334,"['say', 'manini', 'chatterjee', ' ']",False
1343,"['day', 'assam', 'vies', 'taste', 'bud']",False
1344,['grilled'],False
1345,[' '],False
1347,"['ha', 'graduated', 'captain']",False
1352,"['get', 'crowd']",False
1359,"['fret', 'wait', 'governors', 'call']",False
1361,"['mp', 'join', 'camp', 'fret', 'tends', 'flock']",False
1369,"['st', 'phase', 'assembly', 'election', 'begin', 'constituency']",False
1405,['memorial'],False
1422,"['keep', 'key', 'unchanged', 'repo']",False
1452,"['javadekar', 'back', 'restrictive', 'research', 'entry']",False
1465,"['mukul', 'kesavan', 'ought', 'win']",False
1469,"['nachnis', 'dying', 'unsung']",False
1471,"['irfan', 'habib', 'seeing', 'past', 'eye', 'present']",False
1475,"['voter', 'village', 'want', 'permanent', 'india']",False
1477,"['nachnis', 'fighting', 'right']",False
1496,"['thought', 'ha', 'made', 'transparent']",False
1511,"['say', 'source']",False
1514,"['grabbing', 'footpath', 'good', 'business', 'everyone', 'except', 'pedestrian']",False
1520,"['due', 'sudden', 'drop', 'visibility', 'blr']",False
1544,"['president', 'trump', 'fire', 'top', 'government', 'lawyer', 'sally', 'yates', 'defiance', 'immigration', 'order']",False
1561,['r'],False
1566,"['former', 'captain', 'diana', 'edulji', 'others', 'panel', 'run']",False
0,"['inspiration', 'aspect', 'fashion']",False
40,"['thanks', 'connecting', 'passionate', 'hope', 'like', 'tweet', 'happy']",False
75,"['thank', 'happy']",False
118,"['thanks', 'notifying', 'u', 'updated', 'addon', 'plan', 'accordingly', 'happy']",False
119,"['cool', 'happy', 'surround', 'full', 'recovery']",False
140,"['excited', 'thing', 'coming', 'future', 'happy', 'thing', 'going', 'great']",False
180,"['im', 'super', 'impressed', 'hes', 'got', 'musical', 'mojo', 'back', 'thank', 'much', 'happy']",False
181,"['watch', 'mayward', 'fam']",False
186,"['aha', 'okay', 'shes', 'going', 'rough', 'night', 'happy']",False
187,"['company', 'photoshoot', 'fabulous', 'photographer', 'happy', 'look', 'determination', 'concrete', 'shoe', 'get']",False
188,['perfect'],False
196,['thanks'],False
205,"['youre', 'still', 'looking', 'one', 'happy']",False
216,"['wandering', 'around']",False
220,"['sixth', 'spot', 'applicable', 'team', 'higher', 'pa', 'kiss', 'thefashionicon']",False
241,"['please', 'kenbie']",False
243,"['helloo', 'keep_smiling_y']",False
269,"['appreciate', 'recent', 'retweets', 'great', 'thursday', 'happy']",False
274,"['much', 'appreciated', 'happy']",False
283,"['bus', 'bangsar', 'heading', 'awan', 'besar', 'good', 'day', 'happy']",False
313,"['enjoy', 'happy']",False
323,"['im', 'done', 'trying', 'take', 'men', 'seriously', 'happy']",False
336,"['hehe', 'take', 'care', 'andy', 'friend', 'happy']",False
341,"['nothing', 'could', 'better', 'happy']",False
343,"['someone', 'asked', 'hows', 'life', 'smiled', 'replied']",False
351,['happy'],False
356,"['yes', 'happy']",False
370,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
372,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
384,"['might', 'cost', 'month', 'happy']",False
391,"['day', 'go', 'happy']",False
395,"['happy', 'birthday']",False
428,"['like', 'hehe']",False
432,['said'],False
449,"['well', 'wa', 'fun', 'thanks', 'stopping', 'giving', 'shit', 'tonight', 'fella', 'much', 'love', 'feelsgoodman']",False
461,"['dont', 'think', 'youd', 'understand', 'much', 'stream', 'would', 'mean', 'happy', 'even', 'makedo']",False
466,"['stats', 'day', 'arrived', 'new', 'follower', 'unfollowers', 'happy', 'via']",False
473,"['thank', 'much', 'friend', 'smile', 'xx']",False
494,"['thank', 'happy']",False
515,"['nothing', 'move', 'faster', 'girl', 'untagging', 'ugly', 'picture', 'kiss', 'thefashionicon']",False
523,"['joo', 'okay', 'happy']",False
539,"['hate', 'people', 'steal', 'idea']",False
561,"['shoutout', 'donation', 'look', 'like', 'im', 'streaming', 'stanley', 'parable', 'later', 'happy']",False
568,"['happy', 'bday', 'midawgdarnizlle', 'love', 'long', 'time', 'happy', 'thanks', 'best', 'friend', 'forever', 'attempting', 'travel', 'road']",False
571,[],False
598,"['omg', 'im', 'happy', 'new', 'video', 'bigbang', 'baby', 'happy']",False
611,"['jem', 'dark', 'star', 'orianna', 'splash', 'assistance', 'alex', 'shes', 'done', 'lot', 'splash', 'update']",False
668,"['mike', 'blessing', 'happy']",False
670,"['facial', 'happy']",False
674,['josie'],False
678,"['share', 'love', 'thanks', 'top', 'new', 'follower', 'week', 'happy']",False
697,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday', 'want']",False
703,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
704,"['thank', 'much', 'willow', 'helped', 'ring', 'birthday', 'amazing', 'stream', 'last', 'night']",False
707,"['aatein', 'one', 'aa', 'isnt', 'enough']",False
714,"['aw', 'yeah']",False
717,"['still', 'rich', 'try', 'getting', 'life']",False
724,['hey'],False
725,"['get', 'professional', 'one']",False
729,"['thank', 'happy']",False
743,['congrats'],False
744,"['blood', 'enemy', 'happy']",False
745,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday', 'want']",False
746,"['know', 'vearey', 'moving', 'twisty', 'aaree']",False
747,"['tell', 'u', 'happy']",False
751,"['beautiful', 'day', 'happy']",False
756,"['ticket', 'available', 'festival', 'running']",False
763,"['first', 'happy']",False
766,"['thanks', 'smile', 'much', 'better', 'today', 'thanks', 'message']",False
779,"['maayos', 'ang', 'lahat', 'happy', 'let', 'give', 'space', 'time', 'happy']",False
780,"['notice', 'killing', 'r', 'bjp', 'worker', 'another', 'southern', 'state', 'cm', 'dismantling', 'xtian', 'infra', 'munnar']",False
781,['typingcure'],False
782,"['class', 'hall', 'mission', 'heroic', 'dungeon', 'surprised']",False
798,"['thank', 'crew', 'happy']",False
800,"['sup', 'guy']",False
803,"['made', 'dinner', 'two', 'tonight', 'happy']",False
805,"['tutorial', 'michel', 'grundstein', 'distinguishing', 'information', 'knowledge', 'start', 'pm', 'happy']",False
806,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
808,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
809,"['jyoust', 'reminder', 'thank', 'happy']",False
810,"['body', 'hears', 'everything', 'mind', 'say', 'kind']",False
811,"['positive', 'loving', 'always', 'happy']",False
812,"['ruby', 'wa', 'rehomed', 'time', 'wa', 'month', 'old', 'love', 'forever', 'home', 'pls', 'always', 'consider', 'rescue']",False
814,"['naila', 'raheem', 'following', 'twitter']",False
815,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday', 'want']",False
816,"['stats', 'week', 'arrived', 'new', 'follower', 'unfollowers', 'happy', 'via']",False
818,"['love', 'pretty', 'girl', 'call', 'pretty', 'like', 'bitch', 'tf', 'happy', 'lets', 'friend']",False
819,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday', 'get', 'free']",False
820,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
830,"['main', 'reason', 'drink', 'total', 'selflessness']",False
834,"['good', 'evening', 'happy']",False
835,"['goal', 'become', 'apart', 'lose', 'lbsstart', 'youtube', 'happy']",False
841,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'great', 'thursday']",False
842,"['second', 'thanks', 'spin', 'much', 'appreciated', 'happy']",False
845,"['would', 'great', 'trick', 'happy']",False
848,['morning'],False
850,"['hi', 'kn', 'fan', 'happy']",False
